site_id,date,lat,lon,thaw_depth,method,source,quality_flag_date_assigned,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,pf_observed,pf_depth,obs_limit
BS,2013-08-12,71.251398,-156.5499685,41.53335,gp,Jafarov_2016,True,2,5.0,True,1,41.53335,
BS,2013-08-12,71.25137681818181,-156.54990072727273,40.66502272727273,gp,Jafarov_2016,True,22,5.0,True,1,40.66502272727273,
BS,2013-08-12,71.251353,-156.54981,40.2186,gp,Jafarov_2016,True,1,5.0,False,1,40.2186,
BS,2013-08-12,71.25132876190476,-156.54975733333333,40.5132,gp,Jafarov_2016,True,21,5.0,True,1,40.5132,
BS,2013-08-12,71.251304,-156.549705,39.4709,gp,Jafarov_2016,True,3,5.0,True,1,39.4709,
BS,2013-08-12,71.251281,-156.5496507894737,40.40988947368421,gp,Jafarov_2016,True,19,5.0,True,1,40.40988947368421,
BS,2013-08-12,71.25124541666666,-156.54958608333334,40.328125,gp,Jafarov_2016,True,12,5.0,True,1,40.328125,
BS,2013-08-12,71.25122383333333,-156.54955133333334,42.139266666666664,gp,Jafarov_2016,True,6,5.0,True,1,42.139266666666664,
BS,2013-08-12,71.25119172727273,-156.54950163636363,43.147045454545456,gp,Jafarov_2016,True,22,5.0,True,1,43.147045454545456,
BS,2013-08-12,71.2511584,-156.5494487,42.476980000000005,gp,Jafarov_2016,True,10,5.0,True,1,42.476980000000005,
BS,2013-08-12,71.25113653846154,-156.54941592307694,42.229492307692304,gp,Jafarov_2016,True,13,5.0,True,1,42.229492307692304,
BS,2013-08-12,71.25109937500001,-156.54936216666667,41.327149999999996,gp,Jafarov_2016,True,24,5.0,True,1,41.327149999999996,
BS,2013-08-12,71.25107042857142,-156.549319,41.743314285714284,gp,Jafarov_2016,True,7,5.0,True,1,41.743314285714284,
BS,2013-08-12,71.25104716666667,-156.54929433333334,41.44959166666667,gp,Jafarov_2016,True,12,5.0,True,1,41.44959166666667,
BS,2013-08-12,71.2510115,-156.54925629166667,38.75868333333333,gp,Jafarov_2016,True,24,5.0,True,1,38.75868333333333,
BS,2013-08-12,71.25096971428572,-156.5492045,39.67713571428571,gp,Jafarov_2016,True,14,5.0,True,1,39.67713571428571,
BS,2013-08-12,71.250949,-156.54917283333333,40.992,gp,Jafarov_2016,True,6,5.0,True,1,40.992,
BS,2013-08-12,71.2509179090909,-156.5491215909091,40.57363636363636,gp,Jafarov_2016,True,22,5.0,True,1,40.57363636363636,
BS,2013-08-12,71.25087178947369,-156.54907863157896,41.06526315789474,gp,Jafarov_2016,True,19,5.0,True,1,41.06526315789474,
BS,2013-08-12,71.25083290909092,-156.54906472727274,41.78415454545455,gp,Jafarov_2016,True,11,5.0,True,1,41.78415454545455,
BS,2013-08-12,71.250811,-156.549054,41.10544,gp,Jafarov_2016,True,5,5.0,True,1,41.10544,
BS,2013-08-12,71.250782,-156.5490535625,41.22883125,gp,Jafarov_2016,True,16,5.0,True,1,41.22883125,
BS,2013-08-12,71.25073752941177,-156.5490452352941,40.951047058823534,gp,Jafarov_2016,True,17,5.0,True,1,40.951047058823534,
BS,2013-08-12,71.25069335,-156.54903535,43.161455000000004,gp,Jafarov_2016,True,20,5.0,True,1,43.161455000000004,
BS,2013-08-12,71.25064438888889,-156.549016,43.90072222222222,gp,Jafarov_2016,True,36,5.0,True,1,43.90072222222222,
BS,2013-08-12,71.25060305263158,-156.54898968421054,39.70973157894737,gp,Jafarov_2016,True,19,5.0,True,1,39.70973157894737,
BS,2013-08-12,71.25055572222223,-156.54897055555554,39.35487777777777,gp,Jafarov_2016,True,18,5.0,True,1,39.35487777777777,
BS,2013-08-12,71.25052183333334,-156.54896383333332,41.3014,gp,Jafarov_2016,True,6,5.0,True,1,41.3014,
BS,2013-08-12,71.2505005,-156.548948,41.43284,gp,Jafarov_2016,True,10,5.0,True,1,41.43284,
BS,2013-08-12,71.2504678125,-156.5489325625,41.08383125,gp,Jafarov_2016,True,16,5.0,True,1,41.08383125,
BS,2013-08-12,71.25042166666667,-156.5489048888889,39.724422222222216,gp,Jafarov_2016,True,18,5.0,True,1,39.724422222222216,
BS,2013-08-12,71.250377625,-156.5488803125,40.47958125,gp,Jafarov_2016,True,16,5.0,True,1,40.47958125,
BS,2013-08-12,71.25033313333333,-156.54886026666665,39.90916666666667,gp,Jafarov_2016,True,15,5.0,True,1,39.90916666666667,
BS,2013-08-12,71.25031,-156.548841,38.3623,gp,Jafarov_2016,True,1,5.0,False,1,38.3623,
BS,2013-08-12,71.25028705555556,-156.54882066666667,40.31307777777778,gp,Jafarov_2016,True,18,5.0,True,1,40.31307777777778,
BS,2013-08-12,71.25023788235295,-156.54877658823528,41.5516,gp,Jafarov_2016,True,17,5.0,True,1,41.5516,
