File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
BS_HD_1,71.261668,-156.616653,0.59,0.03,71.261646,-156.61533,13.368958,0.044132,0.007442,0.160817,0.515919,0.082969,0.593761,0.095487
BS_HD_1,71.26167,-156.616626,0.55,0.03,71.261646,-156.61533,13.368958,0.04114,0.006937,0.160817,0.515919,0.082969,0.640566,0.103014
BS_HD_1,71.26167,-156.6166,0.53,0.03,71.261646,-156.61533,13.873446,0.038202,0.006442,0.160817,0.535388,0.086099,0.700462,0.112646
BS_HD_1,71.261673,-156.616574,0.54,0.03,71.261646,-156.61533,14.226588,0.037957,0.006401,0.160817,0.549016,0.088291,0.706553,0.113626
BS_HD_1,71.261676,-156.616547,0.54,0.03,71.261646,-156.61533,14.327486,0.03769,0.006355,0.160817,0.552909,0.088917,0.71345,0.114735
BS_HD_1,71.261679,-156.616521,0.52,0.03,71.261646,-156.61533,14.377936,0.036167,0.006099,0.160817,0.554856,0.08923,0.759231,0.122097
BS_HD_1,71.261682,-156.616494,0.39,0.03,71.261646,-156.61533,14.100466,0.027659,0.004664,0.160817,0.544148,0.087508,-999,-999
BS_HD_1,71.261684,-156.616468,0.35,0.03,71.261646,-156.61533,13.822997,0.02532,0.00427,0.160817,0.533441,0.085786,-999,-999
BS_HD_1,71.261687,-156.616442,0.33,0.03,71.261646,-156.61533,13.242834,0.024919,0.004202,0.160817,0.511052,0.082186,-999,-999
BS_HD_1,71.26169,-156.616415,0.37,0.03,71.261646,-156.61533,12.763571,0.028989,0.004888,0.160817,0.492557,0.079211,-999,-999
BS_HD_1,71.261691,-156.616389,0.4,0.03,71.261646,-156.61533,10.896961,0.036707,0.00619,0.160817,0.420523,0.067627,0.741544,0.119253
BS_HD_1,71.261692,-156.616362,0.42,0.03,71.261646,-156.61533,10.442921,-999,-999,0.160817,0.403001,-999,-999,-999
