FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
169,Vault lake,ERT,20210914,-147.6992051,65.03014621,467065.51,7211996.5,227.64,61,-9999,Tussock some bl spruce,-9999,170,171.32
170,Vault lake,ERT,20210914,-147.6992018,65.03016507,467065.69,7211998.6,227.66,-9999,-9999,-9999,-9999,172,173.43
171,Vault lake,ERT,20210914,-147.6991992,65.03018033,467065.83,7212000.3,227.77,-9999,-9999,-9999,-9999,174,175.14
172,Vault lake,ERT,20210914,-147.6991985,65.03020098,467065.89,7212002.6,227.86,-9999,-9999,-9999,-9999,176,177.44
173,Vault lake,ERT,20210914,-147.6991939,65.03021832,467066.13,7212004.53,228.02,-9999,-9999,-9999,-9999,178,179.39
174,Vault lake,ERT,20210914,-147.6991879,65.03023575,467066.43,7212006.47,227.97,48,-9999,Tussock some bl spruce,-9999,180,181.34
175,Vault lake,ERT,20210914,-147.6991892,65.03025217,467066.39,7212008.3,228.04,-9999,-9999,-9999,-9999,182,183.17
176,Vault lake,ERT,20210914,-147.6991836,65.03027122,467066.68,7212010.42,228.19,-9999,-9999,-9999,-9999,184,185.31
177,Vault lake,ERT,20210914,-147.6991799,65.03028685,467066.87,7212012.16,228.1,-9999,-9999,-9999,-9999,186,187.06
178,Vault lake,ERT,20210914,-147.6991773,65.03030597,467067.02,7212014.29,228.16,-9999,-9999,-9999,-9999,188,189.2
179,Vault lake,ERT,20210914,-147.699172,65.03032296,467067.29,7212016.18,228.25,61,-9999,Tussock some bl spruce,-9999,190,191.11
180,Vault lake,ERT,20210914,-147.6991684,65.03033948,467067.48,7212018.02,228.48,-9999,-9999,-9999,-9999,192,192.96
181,Vault lake,ERT,20210914,-147.699165,65.03035807,467067.66,7212020.09,228.4,-9999,-9999,-9999,-9999,194,195.04
182,Vault lake,ERT,20210914,-147.6991623,65.03037612,467067.81,7212022.1,228.41,-9999,-9999,-9999,-9999,196,197.05
183,Vault lake,ERT,20210914,-147.6991585,65.03039274,467068.01,7212023.95,228.46,-9999,-9999,-9999,-9999,198,198.91
184,Vault lake,ERT,20210914,-147.6991537,65.03041277,467068.26,7212026.18,228.6,51,-9999,Tussock some bl spruce,-9999,200,201.16
185,Vault lake,ERT,20210914,-147.6991535,65.03042964,467068.29,7212028.06,228.54,-9999,-9999,-9999,-9999,202,203.04
186,Vault lake,ERT,20210914,-147.6991485,65.03044878,467068.55,7212030.19,228.52,-9999,-9999,-9999,-9999,204,205.18
187,Vault lake,ERT,20210914,-147.6991475,65.03046646,467068.62,7212032.16,228.65,-9999,-9999,-9999,-9999,206,207.15
188,Vault lake,ERT,20210914,-147.6991392,65.03048391,467069.03,7212034.1,228.62,-9999,-9999,-9999,-9999,208,209.14
189,Vault lake,ERT,20210914,-147.6991389,65.03050186,467069.07,7212036.1,228.57,56,-9999,Tussock some bl spruce,-9999,210,211.14
190,Vault lake,ERT,20210914,-147.699133,65.03052028,467069.37,7212038.15,228.69,-9999,-9999,-9999,-9999,212,213.21
