site_id,pf_observed,pf_depth,org_thick,org_thick_lower_bound,Canopy and Surface,Burn Year,Relief,Soil Type,lat,lon,source,thaw_depth,obs_limit,date,method,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_obs_limit_assumed,quality_flag_model_or_estimate,quality_flag_method_approximate_or_unknown,quality_flag_upper_bound_presence
56,1,76.0,183,False,Spruce; hummocky sphangum,,Low,"Clay, silt",59.82221,-117.04533,Holloway_2019,76.0,,1962-09-15,tp,True,,False,,True,False
57,1,61.0,61,True,Spruce; hummocky sphangum,2012,Low,,59.811,-117.05457,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
58,1,61.0,61,False,Spruce; hummocky sphangum,2012,Low,"Clay, silt",59.79554,-117.06028,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
59,0,,,False,"Poplar, jack pine, spruce",2012,High,Clay,59.77014,-117.07363,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
60,0,,23,False,"Spruce; hummocky moss, lichen",,Sloping,"Sand, clay, silt",59.75018,-117.08062,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
61,0,,,False,"Poplar, jack pine",,High,Sand and gravel,59.739,-117.08811,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
62,1,61.0,91,False,Spruce; Hummocky sphagnum with labrador tea,,Low,"Silt, sand",59.6741,-117.1509,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
63,1,61.0,102,False,"Spruce; Hummocky sphagum, lichen, lab tea",,Low,"Organic, silt, sand",59.61908,-117.17265,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
64,1,76.0,76,False,Spruce; sphagnum,,Low,Sand,59.61836,-117.17267,Holloway_2019,76.0,,1962-09-15,tp,True,,False,,True,False
64A,1,76.0,76,False,Spruce; sphagnum,,Low,Sand,59.61836,-117.17267,Holloway_2019,76.0,,1962-09-15,tp,True,,False,,True,False
65,1,61.0,61,False,Spruce; hummocky sphagnum,,Low,"Silt, sand",59.58442,-117.19044,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
66,1,366.0,,False,"Poplar, spruce, jackpine",,River or stream valley,Gravel,59.57549,-117.19389,Holloway_2019,366.0,,1962-09-15,tp,True,,False,,True,False
67,0,,76,False,"Spruce; hummocky sphagnum, lab tea, wet",,Low,"Silt, clay",59.54106,-117.18603,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
68,1,61.0,112,False,Spruce; peat plateau with hummocky sphagnum and labrador tea,2000/2012,Low,"Silt, clay",59.52972,-117.18673,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
69,1,51.0,76,False,Spruce; Hummocky sphagnum and labrador tea,2007,Low,"Silt, clay",59.44915,-117.23153,Holloway_2019,51.0,,1962-09-15,tp,True,,False,,True,False
70,1,,,False,,,River or stream valley,Gravel and  clay,59.40496,-117.285,Holloway_2019,,,1962-09-15,tp,True,,False,,True,True
71,1,,,False,"Spruce; sphagnum, peat plateau",2012,Low,"Clay, Silt",59.38885,-117.30077,Holloway_2019,,,1962-09-15,tp,True,,False,,True,True
72,1,61.0,61,True,Spruce; sphagnum,2012,Low,,59.37919,-117.30682,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
73,1,61.0,282,False,Spruce; hummocky sphagnum with lichen and labrador tea,2012,Low,"Organic, silt, clay",59.29908,-117.37759,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
74,1,61.0,61,True,"Sphagnum, lichen, lab tea",,Low,"Clay, sand, gravel",59.20103,-117.53072,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
75,1,,,False,Spruce; sphagnum,,Low,"Silt, sand, gravel",59.19257,-117.54987,Holloway_2019,,,1962-09-15,tp,True,,False,,True,True
76,1,61.0,79,False,Spruce; hummocky sphagnum with lichen and labrador tea,,Low,"Clay, silt",59.15883,-117.64358,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
78,1,,61,True,"Spruce, tamarack; sphagnum, lab tea",,Low,"Silt, clay, sand",59.10526,-117.67385,Holloway_2019,,,1962-09-15,tp,True,,False,,True,True
80,1,61.0,107,False,"Spruce, poplar; hummocky sphagnum, lichen, lab tea",,Sloping,Gravel,59.00904,-117.66958,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
81,0,,,False,"Poplar, jack pine, spruce",,Low,Gravel,58.97108,-117.61462,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
82,0,,122,False,Spruce; sphagnum,,Sloping,"Clay, silt, gravel",58.92592,-117.54022,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
83,1,61.0,114,False,Spruce; hummocky sphagnum,,Low,Gravel,58.79031,-117.39533,Holloway_2019,61.0,,1962-09-15,tp,True,,False,,True,False
85,1,76.0,183,False,"Spruce; hummocky sphagnum, lichen, lab tea",,Low,"Sand, organics",58.00439,-117.19946,Holloway_2019,76.0,,1962-09-15,tp,True,,False,,True,False
86,1,91.0,91,False,Spruce; sphagnum,,Low,,57.78964,-117.66701,Holloway_2019,91.0,,1962-09-15,tp,True,,False,,True,False
87,1,84.0,84,True,Spruce; sphagnum,,Low,,57.78851,-117.69053,Holloway_2019,84.0,,1962-09-15,tp,True,,False,,True,False
88,1,84.0,127,False,"Hummocky sphagnum, peat plateau",,Low,"Organic, silt, clay",57.78733,-117.71267,Holloway_2019,84.0,,1962-09-15,tp,True,,False,,True,False
